id,risk_factor,input_variable,category,modifiable,description,associated_risk,timing,recommendation,source,page
1,Adolescent age (<18 years),maternal_age_young,Demographic,No,Childbearing at a very young age,High risk of mortality and complications,Any,Conduct HEADSS assessment; facility delivery recommended,Digital ANC Who guidelines; NDHS2022; SMNH Roadmap 2030,35; 199; 370
2,Older maternal age (>35 years),maternal_age_old,Demographic,No,Women age 35 and older,Avoidable high-risk category for mortality,Any,,NDHS2022,"199, 210"
3,Short birth interval,short_birth_interval,Obstetric_history,Yes,Intervals of less than 24 months between births,Increased risks of morbidity and mortality to mothers and newborns,Pre-pregnancy,Promoting birth spacing,NDHS2022; SMNH Roadmap 2030,"196, 199; 371"
4,High parity,high_parity,Obstetric_history,Yes,Birth order of order 3 or higher,Greater probability of dying in infancy; high-risk category,Any,,NDHS2022,"197, 199"
5,Previous pre-eclampsia or eclampsia,previous_preeclampsia,Obstetric_history,No,History of pre-eclampsia in a previous pregnancy,High risk of developing pre-eclampsia in current pregnancy,Pre-pregnancy,Low-dose aspirin (75 mg/day) initiated before 20 weeks,WHO recommendations on maternal health,"407, 408"
6,Previous miscarriage or stillbirth,previous_pregnancy_loss,Obstetric_history,No,History of miscarriage or stillbirth,High-risk pregnancy; risk factor for pre-eclampsia,Pre-pregnancy,Low-dose aspirin if risk identified,Maternal Health AI Platform Design; WHO recommendations on maternal health,171; 408
7,Previous Caesarean section,previous_c_section,Obstetric_history,No,History of delivery by CS before the index pregnancy,Contributory factor to maternal death; risk of complication,Pre-pregnancy,,A Report on Maternal Mortality; Maternal Health AI Platform Design,"6, 12; 172"
8,Multiple pregnancy,multiple_pregnancy,Current_pregnancy,No,Carrying more than one fetus (e.g. twins),High risk of developing pre-eclampsia,Any,Ultrasound scan before 24 weeks; increased monitoring,Hospital-MPDSR-Training-Manual; WHO recommendations on maternal health; Who Guidelines ANC,135; 408; 427
9,Chronic Hypertension,chronic_hypertension,Medical_condition,Yes,Diagnosed with high blood pressure before pregnancy,Aggravated by pregnancy; high risk of pre-eclampsia,Any,Flag as high-risk pregnancy; low-dose aspirin,A Report on Maternal Mortality; Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual; WHO recommendations on maternal health,13; 69; 133; 408
10,Pre-existing Diabetes,pre_existing_diabetes,Medical_condition,Yes,Diagnosed with diabetes before pregnancy,High risk of pre-eclampsia; adverse pregnancy outcomes,Any,Increased monitoring and referral,A Report on Maternal Mortality; Hospital-MPDSR-Training-Manual; WHO recommendations on maternal health; Who Guidelines ANC,"13; 101, 135; 408; 434"
11,Chronic Heart Disease,chronic_heart_disease,Medical_condition,No,Pre-existing cardiac condition,Aggravated by physiological effects of pregnancy; indirect death,Any,,A Report on Maternal Mortality; Hospital-MPDSR-Training-Manual,"5, 13; 94, 135"
12,Chronic Renal Disease,chronic_renal_disease,Medical_condition,No,Pre-existing renal condition,High risk of developing pre-eclampsia,Any,,Hospital-MPDSR-Training-Manual; WHO recommendations on maternal health,100; 408
13,Anaemia,anemia,Medical_condition,Yes,Haemoglobin level less than 11 g/dl,Endanger the lives of mothers; contributory factor to death,Any,Daily oral iron and folic acid supplementation,A Report on Maternal Mortality; Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual,"1; 55, 64; 93, 135"
14,Tobacco Use,tobacco_use,Lifestyle,Yes,Smoking or use of smokeless tobacco products,Increased risk for maternal/newborn health,Any,Tobacco cessation counselling; advice on reducing exposure,Digital ANC Who guidelines; WHO recommendations on maternal health; Who Guidelines ANC,"49, 62; 403; 425"
15,Alcohol Use,alcohol_use,Lifestyle,Yes,Consumption of alcohol,Avoidable risk factor; contributory to poor outcomes,Any,Alcohol/substance use counselling,A Report on Maternal Mortality; Digital ANC Who guidelines; Who Guidelines ANC,"22; 49, 62; 425"
16,Intimate Partner Violence (IPV),ipv_exposure,Social,Yes,"Physical, emotional, or sexual violence by a partner",Risk of traumatic injury and adverse reproductive outcomes,Any,Clinical enquiry; provision of supportive response/referral,Digital ANC Who guidelines; WHO recommendations on maternal health; Who Guidelines ANC,"50, 67; 402, 491; 448"
17,No Formal Education,no_education,Demographic,Yes,Mothers with no schooling or illiteracy,Factor in delay in seeking care; predicts mortality,Any,,Hospital-MPDSR-Training-Manual; s10900-026-01562-1,"109, 157; 499"
18,Poor Wealth Quintile,low_wealth_quintile,Social,Yes,Women from the lowest income households,Predictor of maternal mortality; inequity in service use,Any,Prioritize resources for these groups,NDHS2022; Hospital-MPDSR-Training-Manual; s10900-026-01562-1,238; 109; 499
19,Rural Residence,rural_residence,Demographic,Yes,Living in rural or remote geographic locations,Predictor of mortality; delay in reaching health facility,Any,Improve access and referral mechanisms,Hospital-MPDSR-Training-Manual; s10900-026-01562-1,142; 499
20,Low BMI (Underweight),low_bmi,Demographic,Yes,BMI less than 18.5,determinant of poor perinatal outcomes; risk of SGA,Any,Nutrition education; energy and protein supplementation,Digital ANC Who guidelines; NDHS2022; Who Guidelines ANC,55; 213; 442
21,High BMI (Obesity),high_bmi,Demographic,Yes,BMI greater than 30 kg/m²,"Risk factor for GDM, cardiovascular disease, and diabetes",Any,Risk factor screening for GDM,NDHS2022; Who Guidelines ANC,213; 434
22,No Antenatal Care Visits,no_anc_visits,Antenatal_care,Yes,Never initiated antenatal care,Avoidable factor in maternal and neonatal deaths,Any,Strengthening FCHV Programme for awareness,Hospital-MPDSR-Training-Manual; SMNH Roadmap 2030,"116; 369, 371"
23,Asymptomatic Bacteriuria (ASB),asb_positive,Laboratory,Yes,Bacteriuria in the absence of UTI symptoms,Increased risk of pyelonephritis and preterm birth,Any,Seven-day antibiotic regimen,Who Guidelines ANC,"428, 456"
24,HIV Positive,hiv_positive,Medical_condition,No,Pregnant women living with HIV,Indirect cause of maternal death; immune failure,Any,Provider-initiated testing and counselling; ARVs,Hospital-MPDSR-Training-Manual; Who Guidelines ANC; WHO recommendations on maternal health,"96, 113, 135; 427; 389"
25,Tuberculosis,tb_positive,Medical_condition,Yes,Active TB infection,Physiological effect aggravated by pregnancy; indirect death,Any,Systematic screening in high-prevalence settings,Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual; Who Guidelines ANC,"34; 96, 100; 427"
26,Caste/Ethnicity (Dalit/Madhesi),ethnicity_risk_group,Demographic,No,Specific ethnic or caste groups in Nepal,Predictor of maternal mortality; low service coverage,Any,Targeted context-specific interventions,NDHS2022; SMNH Roadmap 2030; s10900-026-01562-1,216; 371; 499
27,Gestational Diabetes (GDM),gestational_diabetes,Current_pregnancy,Yes,Hyperglycaemia first detected during pregnancy,"Risk of macrosomia, pre-eclampsia, and shoulder dystocia",Second_trimester,Increased monitoring; lifestyle changes or medication,Who Guidelines ANC,434
28,High Caffeine Intake,high_caffeine_intake,Lifestyle,Yes,Intake more than 300 mg per day,Risk of pregnancy loss and low-birth-weight neonates,Any,Lowering daily caffeine intake,Digital ANC Who guidelines; Who Guidelines ANC,49; 432
