id,anc_visit,start_week,end_week,primary_goal,assessments,investigations,interventions,counselling,mandatory_items,follow_up,source,page,,,,
1,ANC 1,0,12,Diagnosis; baseline establishment; counselling,History; weight; height; BMI; blood pressure; physical exam; fetal assessment; HEADSS assessment for adolescents,Pregnancy test; ultrasound (USG); blood type; Rh factor; Hb testing; urine culture or Gram-stain; HIV/syphilis testing; TB screening; GDM screening,Iron and folic acid (IFA); Tetanus toxoid-containing vaccine (TTCV); TDF-based PrEP if at high HIV risk,Healthy eating; physical activity; tobacco/substance/caffeine reduction; condom use; IPV enquiry; birth plan; danger signs,MNCH card provision; blood pressure; USG referral; IFA; IPV clinical enquiry,Schedule Contact 2,Digital ANC Who guidelines; SMNH Roadmap 2030; Who Guidelines ANC; NDHS2022,"43-46, 69-70, 87, 112; 400, 430, 478; 688; 248","first ANC visit:USG, CBC, RFT, LFT, RBS, UPT, Blood group and Rh typing, urine routine examination, HIV, Syphillis, HepatitisB",,,
2,ANC 2,13,20,Anomaly screening; systemic examination,Blood pressure; weight; fetal assessment (SFH/heartbeat),Ultrasound (if not done at Contact 1); proteinuria,IFA; Calcium supplements; IPTp-SP (malaria prophylaxis in endemic areas),Nutrition; symptoms management; danger signs; breastfeeding,Blood pressure; proteinuria; anomaly USG; fetal heartbeat,Schedule Contact 3,SMNH Roadmap 2030; Who Guidelines ANC,"398, 400, 478; 688, 691, 693",,,,
3,ANC 3,21,26,Preeclampsia screening; nutrition,Blood pressure; weight; SFH; fetal heartbeat,Proteinuria,IFA; Calcium; IPTp-SP,Nutrition; breastfeeding; symptoms; healthy behaviours,Blood pressure; proteinuria; fetal heartbeat,Schedule Contact 4,SMNH Roadmap 2030; Who Guidelines ANC,"400-401, 476; 688, 696",universal GDM screening at 24-28weeks,,,
4,ANC 4,27,30,Fetal growth and anaemia monitoring,Blood pressure; weight; SFH; heartbeat; maternal perception of fetal movement,Haemoglobin (Hb) testing; proteinuria,IFA; Calcium; IPTp-SP,Fetal movement reporting; birth preparedness; nutrition,Blood pressure; proteinuria; Hb test; fetal movement enquiry,Schedule Contact 5,SMNH Roadmap 2030; Who Guidelines ANC,"401, 476, 491; 688, 696",,,,
5,ANC 5,31,34,Anaemia monitoring; maternal symptoms,Blood pressure; weight; SFH; heartbeat; maternal perception of fetal movement,Hb testing; proteinuria,IFA; Calcium; IPTp-SP; Anti-D immunoglobulin if indicated,Danger signs; symptoms; nutrition; family planning,Blood pressure; proteinuria; Hb test,Schedule Contact 6,SMNH Roadmap 2030; Who Guidelines ANC,"401, 476, 571; 688, 696",,,,
6,ANC 6,35,36,Fetal presentation and growth monitoring,Blood pressure; weight; SFH; heartbeat; fetal presentation; maternal perception of fetal movement,Hb testing; proteinuria,IFA; Calcium; IPTp-SP; Antenatal misoprostol distribution,Birth preparedness; danger signs; nutrition; labor signs,Fetal presentation; blood pressure; proteinuria; IFA,Schedule Contact 7,SMNH Roadmap 2030; Who Guidelines ANC,"401, 476, 527; 688, 696",,,,
7,ANC 7,37,38,Systematic monitoring; birth preparedness,Blood pressure; weight; SFH; heartbeat; maternal perception of fetal movement,Proteinuria,IFA; Calcium,Birth preparedness; danger signs; nutrition,Blood pressure; proteinuria; fetal movement,Schedule Contact 8,SMNH Roadmap 2030; Who Guidelines ANC,"401, 476, 687; 688, 696",,,,
8,ANC 8,39,40,Systematic monitoring; post-term management,Blood pressure; weight; SFH; heartbeat; maternal perception of fetal movement,Proteinuria,IFA; Calcium,Birth preparedness; symptoms; labor signs,Blood pressure; proteinuria; non-stress test (NST) if >40 weeks,Return for delivery at 41 weeks if not given birth,SMNH Roadmap 2030; Who Guidelines ANC; MPDSR-Factsheet_FY-2080-81,"401, 687; 688-689, 696; 211",,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
