module_id,module_title,module_category,trigger,gestational_stage,priority,learning_objective,key_points,do_actions,avoid,seek_care_if,target_user,delivery_mode,personalization_variables,source,page
EDU001,Danger Signs,Emergency,always,Any,High,Recognize life-threatening symptoms requiring immediate medical attention.,Early recognition prevents maternal and newborn death; complications can arise at any stage; emergency transport and funds should be planned in advance.,Learn and memorize signs; identify nearest facility; arrange emergency transport/funds.,,Vaginal bleeding; convulsions; fever; severe headache; blurred vision; severe abdominal pain; respiratory distress.,Both,Checklist,symptoms; pregnancy_stage,Digital ANC Who guidelines; SMNH Roadmap 2030,"64, 105; 415"
EDU002,Nutrition & Extra Meal,Nutrition,anc_visit = 1,Any,Medium,Understand dietary requirements for a healthy pregnancy.,Healthy eating prevents excessive weight gain; undernourished women need extra energy and protein; diet influences birth weight and maternal health.,Eat one extra meal per day; eat healthy and diverse food; stay active throughout pregnancy.,"High-protein supplements (unless undernourished); routine Vitamin B6, C, E, or D supplements.",Excessive weight gain; lack of weight gain.,Both,Counselling prompt,bmi; anc_visits_completed,Digital ANC Who guidelines; Who Guidelines ANC; NDHS2022,"54; 394, 401-402; 267-268"
EDU003,Iron and Folic Acid (IFA),Medication,anc_visit = 1,Any,High,Understand the importance of daily iron and folic acid supplementation.,"IFA prevents maternal anaemia, sepsis, and low birth weight; supplementation should continue for 180 days during pregnancy.",Take IFA tablets daily as prescribed; store tablets in a dry place; continue for 45 days postpartum.,,Extreme pallor (paleness); feeling too weak to stand.,Both,Reminder,haemoglobin; anc_visits_completed,Digital ANC Who guidelines; Who Guidelines ANC,"59, 80; 396"
EDU004,Fetal Movement Awareness,Pregnancy Education,gestational_age_weeks >= 28,Third trimester,High,Monitor the baby’s activity to ensure well-being.,Maternal perception of fetal movement is a key assessment tool; reduced movement is associated with fetal distress or hypoxia.,Be aware of the baby's movements daily; report changes immediately.,Routine daily kick charts (only recommended for research context).,Fetal movements stop or significantly decrease.,Both,Text explanation,gestational_age_weeks,Digital ANC Who guidelines; WHO recommendations on maternal health,68; 406
EDU005,Birth Preparedness Plan,Delivery,gestational_age_weeks >= 28,Third trimester,High,Prepare all necessary items and plans for a safe childbirth.,Facility delivery with a skilled birth attendant is safer than home; a birth plan reduces delays in receiving emergency care.,Identify facility; choose a birth companion; arrange transport; save money; identify blood donors; prepare MNCH card.,Home delivery.,"Signs of labour (contractions, leaking fluid, ""water broke"").",Both,Checklist,gestational_age_weeks; previous_pregnancy_history,Digital ANC Who guidelines; SMNH Roadmap 2030,"58-59; 413, 415"
EDU006,Breastfeeding Preparation,Pregnancy Education,gestational_age_weeks >= 36,Postpartum,Medium,Prepare for immediate and exclusive breastfeeding after birth.,Initiation should occur within one hour of birth; exclusive breastfeeding is recommended for the first 6 months.,Practice skin-to-skin contact; use responsive feeding; exclusive breastfeeding only.,"Pre-lacteal feeds (sugar water, honey, etc.); use of bottles or teats.",Baby not feeding well; sore nipples; breast engorgement.,Both,Text explanation,gestational_age_weeks; pregnancy_stage,Digital ANC Who guidelines; WHO recommendations on maternal health,"61, 82; 361"
EDU007,Family Planning Spacing,Postpartum,pregnancy_stage = postpartum,Postpartum,Medium,Understand options for spacing future pregnancies for health.,Postpartum family planning (PPFP) prevents short birth intervals; intervals <24 months increase mortality risk for mother and baby.,Discuss options with provider; initiate a method before facility discharge if desired.,,,Both,Counselling prompt,pregnancy_stage; previous_pregnancy_history,Digital ANC Who guidelines; SMNH Roadmap 2030; NDHS2022,"59, 82; 335, 342; 225"
EDU008,Physiological Symptoms Relief,Pregnancy Education,always,Any,Low,Manage common discomforts of pregnancy safely.,Hormonal and mechanical changes cause common symptoms; non-pharmacological relief is effective for many.,Use ginger or Vitamin B6 for nausea; elevate legs for oedema; use wheat bran for constipation; do regular exercise for back pain.,,"Symptoms persist or become severe (e.g., persistent vomiting).",Pregnant Woman,Text explanation,symptoms,Digital ANC Who guidelines; Who Guidelines ANC,"61, 78; 389, 407"
EDU009,Tobacco and Substance Use,Lifestyle,anc_visit = 1,Any,Medium,Understand the harmful effects of tobacco and alcohol.,Tobacco and alcohol increase risks for mother and baby; second-hand smoke exposure is dangerous.,Quit tobacco use; avoid alcohol and other substances; lower caffeine intake (<300mg/day).,Smoking or use of smokeless tobacco.,,Pregnant Woman,Interactive question,none,Digital ANC Who guidelines; Who Guidelines ANC,67; 404-405
EDU010,Postpartum Mental Health,Mental Health,pregnancy_stage = postpartum,Postpartum,Medium,Recognize and seek help for maternal depression.,Postpartum depression affects maternal well-being and child care; symptoms can be screened and treated.,"Talk to a healthcare worker about feelings of sadness, hopelessness, or lack of interest.",,Suicidal ideation; thoughts of self-harm.,Both,Counselling prompt,pregnancy_stage,Hospital-MPDSR-Training-Manual; NDHS2022,157; 316-317
EDU011,Tetanus Immunization,Vaccination,anc_visit = 1,Any,High,Ensure protection against tetanus for the mother and newborn.,Tetanus toxoid-containing vaccine (TTCV) prevents neonatal mortality; multiple doses are required based on history.,Receive the scheduled TTCV injection; check and update vaccination history.,,,Both,Reminder,anc_visits_completed,Digital ANC Who guidelines; WHO recommendations on maternal health,"66, 82; 442"
EDU012,Adolescent Pregnancy Care,Pregnancy Education,maternal_age <= 19,Any,Medium,Understand specific risks and care needs for young mothers.,Adolescents face higher risks of complications and social barriers to care; facility delivery is recommended.,Conduct HEADSS assessment; prioritize facility delivery; ensure social support.,Early marriage; home delivery.,,Both,Counselling prompt,maternal_age,Digital ANC Who guidelines,"39, 62"
EDU013,Preeclampsia Awareness,Pregnancy Education,gestational_age_weeks >= 20,Second trimester,High,Identify early symptoms of high blood pressure disorders.,Preeclampsia is a leading cause of maternal death; symptoms often appear in the second half of pregnancy.,Monitor blood pressure and proteinuria at every visit; report severe headaches.,,Severe headache; blurred vision; upper epigastric (stomach) pain.,Both,Reminder,gestational_age_weeks; blood_pressure,Digital ANC Who guidelines; WHO recommendations on maternal health,"59, 86; 430"
EDU014,Intimate Partner Violence Support,Social Support,always,Any,Medium,Identify support for safety and reproductive health.,IPV is a risk factor for maternal and fetal death; disclosure in a private setting is essential for support.,Disclose safety concerns to a trusted provider; seek referral to social services.,,Traumatic injury; repeated intrusive partner presence.,Both,Counselling prompt,none,Digital ANC Who guidelines; WHO recommendations on maternal health,"68, 83; 436"
