id,sign,trigger_type,description,severity,urgency,trimester,recommended_action,source,page,notes
1,Vaginal bleeding,symptom,Bleeding vaginally; Heavy bleeding or spotting,Severe,Emergency,Any,Refer immediately,A Report on Maternal Mortality; Digital ANC Who guidelines; NDHS2022; SMNH Roadmap 2030,"9, 23; 88; 182, 243; 375",Heavy bleeding may indicate serious complication
2,Convulsions,symptom,Jerky movement of the body; rolling of eyes,Severe,Emergency,Any,Refer immediately; Magnesium sulphate,A Report on Maternal Mortality; Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual; SMNH Roadmap 2030,"13, 24; 88; 111, 140; 375",Associated with eclampsia
3,High blood pressure,vital_sign,BP 140/90 mmHg or above; BP 180/120 mmHg,Severe,Immediate referral,Any,Refer urgently to a hospital,A Report on Maternal Mortality; Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual; SMNH Roadmap 2030,"24; 82, 85; 111; 375",Flagged as high-risk pregnancy
4,Severe headache,symptom,Headache and visual disturbance,Severe,Emergency,Third,Seek immediate medical evaluation,A Report on Maternal Mortality; Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual; Maternal Health AI Platform Design,"12, 24; 88; 140; 221",May indicate serious complication in late pregnancy
5,Blurred vision,symptom,Difficulty to focus the vision; visual disturbance,Severe,Emergency,Third,Seek immediate medical evaluation,A Report on Maternal Mortality; Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual; Maternal Health AI Platform Design,"12, 24; 88; 140; 221",Linked with severe pre-eclampsia
6,Fever,vital_sign,Body temperature > 37.5 °C; Fever for 3 days,Severe,Immediate referral,Any,Parenteral antibiotics and immediate referral,A Report on Maternal Mortality; Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual; SMNH Roadmap 2030,"13, 24; 89; 104; 375",Risk factor for sepsis
7,Severe abdominal pain,symptom,Severe pain; upper epigastric pain,Severe,Emergency,Any,Refer immediately,A Report on Maternal Mortality; Digital ANC Who guidelines,24; 88,Check for ectopic pregnancy or pre-eclampsia
8,Reduced fetal movement,symptom,Maternal perception of reduced fetal movements,Severe,Within 24 hours,Third,Further monitoring and investigation,A Report on Maternal Mortality; SMNH Roadmap 2030; WHO recommendations on maternal health,25; 371; 387,Advised on reporting frequency in 3rd trimester
9,Unconsciousness,symptom,Shock; Fainting; Unrecordable BP & pulse,Severe,Emergency,Any,Management of shock and immediate referral,A Report on Maternal Mortality; Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual; SMNH Roadmap 2030,"13, 28; 88; 113; 375",Immediate life-threatening emergency
10,Foul-smelling vaginal discharge,symptom,Foul vaginal discharge; foul smelly liquor,Severe,Same day,Any,Refer to BEONC or CEONC site,A Report on Maternal Mortality; Hospital-MPDSR-Training-Manual; SMNH Roadmap 2030,"24, 28; 198; 375",Sign of maternal infection/sepsis
11,Leaking of fluid from vagina,symptom,Water broke; PV leaking for 4 days,Severe,Same day,Any,Seek immediate medical evaluation,A Report on Maternal Mortality; Hospital-MPDSR-Training-Manual; Maternal Health AI Platform Design,29; 201; 219,Risk of chorioamnionitis if prolonged
12,Swelling (Oedema),physical_exam,Pedal edema; Swelling of face or hands,Moderate,Routine,Any,Check for symptoms of severe pre-eclampsia,Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual; Maternal Health AI Platform Design,"70, 76; 111, 140; 219",Counselling provided for physiological symptom
13,Severe vomiting,symptom,Vomited twice at home; persistent vomiting,Severe,Emergency,Any,Refer immediately,Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual,89; 140,Potential sign of severe pre-eclampsia
14,Shortness of breath,symptom,Severe difficulty breathing; respiratory distress,Severe,Emergency,Any,Refer immediately,Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual,88; 198,May indicate heart disease or ARDS
15,Retained placenta,physical_exam,Manual removal needed; Inversion of the uterus,Severe,Emergency,Labour,Parenteral oxytocic drugs and immediate referral,A Report on Maternal Mortality; SMNH Roadmap 2030,"13, 28; 375, 376",Signal function for BEONC
16,Prolonged labour,pregnancy_stage,Labour more than 24 hours; Obstructed labour,Severe,Emergency,Labour,Facility delivery after 12 hours of labour,A Report on Maternal Mortality; Hospital-MPDSR-Training-Manual; SMNH Roadmap 2030,"13, 28; 134; 142",Risk of ruptured uterus
17,Abnormal fetal presentation,physical_exam,"Breech, transverse, oblique; Hand/foot/cord prolapse",Severe,Emergency,Labour,Refer immediately,A Report on Maternal Mortality; Hospital-MPDSR-Training-Manual,"13, 28; 203",Requires emergency C-section or assisted delivery
18,Pallor,physical_exam,"Very pale; Pallor in conjunctiva, fingernails, eyelid",Moderate,Routine,Any,Full blood count testing; Iron supplementation,A Report on Maternal Mortality; Hospital-MPDSR-Training-Manual; NDHS2022; WHO recommendations on maternal health,"30; 113, 140; 247; 455",Symptom of severe anaemia
19,Proteinuria,laboratory,Urine dipstick result protein ++ or +++,Severe,Immediate referral,Any,Refer urgently to a hospital,Digital ANC Who guidelines,"84, 86",Diagnostic criteria for pre-eclampsia
20,Chest pain,symptom,Palpitations; Chest pain with household work,Moderate,Same day,Any,Medical evaluation,Hospital-MPDSR-Training-Manual,122,Primary cause linked to Heart Disease
21,Postpartum depression,symptom,"Feeling down, depressed or hopeless",Moderate,Routine,Postpartum,Screening using EPDS or PHQ-9,Hospital-MPDSR-Training-Manual; SMNH Roadmap 2030,175; 368,Affects 20-30 women for every maternal death
22,Intimate partner violence,symptom,Traumatic injury repeated; Intrusive partner,Moderate,Same day,Any,Clinical enquiry; Supportive response/referral,Digital ANC Who guidelines; WHO recommendations on maternal health; Who Guidelines ANC,"67; 413, 470; 536",Minimum safety requirements must be met
