rule_id,priority,rule_name,trigger_type,conditions,logical_operator,gestational_stage,risk_level,recommendation,facility_level,required_inputs,confidence,education_module,explanation_key,source,page,rule_outcome,next_step
1,1,Suspected Emergency Obstetric Complication,Symptom,unconscious = yes OR convulsions = yes OR vaginal_bleeding = yes OR severe_abdominal_pain = yes,OR,Any,Emergency,Go to Referral Hospital immediately,Referral Hospital,unconscious; convulsions; vaginal_bleeding; severe_abdominal_pain,High,Danger Signs,These signs indicate life-threatening complications requiring immediate stabilization.,Digital ANC Who guidelines,"91, 105",STOP,Display Recommendation + Emergency Education
2,1,Suspected Severe Respiratory Complication,Symptom,severe_difficulty_breathing = yes OR central_cyanosis = yes,OR,Any,Emergency,Go to Referral Hospital immediately,Referral Hospital,severe_difficulty_breathing; central_cyanosis,High,Danger Signs,"Indicates potential heart disease, pneumonia, or ARDS.",Digital ANC Who guidelines,"91, 105",STOP,Display Recommendation + Emergency Education
3,1,Suspected Postpartum Haemorrhage,Symptom,vaginal_bleeding = yes,,Postpartum,Emergency,Go to Referral Hospital immediately,Referral Hospital,vaginal_bleeding,High,Danger Signs,Severe bleeding can kill a healthy woman within hours of birth.,SMNH Roadmap 2030,"391, 472",STOP,Display Recommendation + Emergency Education
4,1,Suspected Severe Sepsis,Combination,fever = yes AND foul_smelling_discharge = yes,AND,Any,Emergency,Go to Referral Hospital immediately,Referral Hospital,fever; foul_smelling_discharge,High,Danger Signs,Indicates severe pregnancy-related infection/sepsis.,SMNH Roadmap 2030,472,STOP,Display Recommendation + Emergency Education
5,1,Suspected Shock,Symptom,shock = yes OR fainting = yes OR unrecordable_bp_pulse = yes,OR,Any,Emergency,Go to Referral Hospital immediately,Referral Hospital,shock; fainting; bp_systolic,Medium,Danger Signs,Shock is an immediate life-threatening emergency.,SMNH Roadmap 2030,"467, 472",STOP,Display Recommendation + Emergency Education
6,1,Suspected Severe Hypertension,Vital Sign,bp_systolic >= 160 OR bp_diastolic >= 110,OR,Any,Emergency,Go to Referral Hospital immediately,Referral Hospital,bp_systolic; bp_diastolic,Medium,Preeclampsia,Severe hypertension leads to complications like stroke or organ failure.,WHO recommendations on maternal health,"398, 559",STOP,Display Recommendation + Emergency Education
7,2,Suspected Preeclampsia,Combination,bp_systolic >= 140 AND bp_systolic < 160 AND proteinuria >= 2,AND,Any,Urgent,Refer urgently,Referral Hospital,bp_systolic; proteinuria,Low,Preeclampsia,Preeclampsia is a leading cause of maternal death and requires surveillance.,Digital ANC Who guidelines,"101, 102",CONTINUE,Load Preeclampsia Education
8,2,Suspected Severe Preeclampsia,Combination,severe_headache = yes AND blurred_vision = yes AND gestational_age_weeks >= 28,AND,Third trimester,Urgent,Refer urgently,Referral Hospital,severe_headache; blurred_vision; gestational_age_weeks,High,Preeclampsia,Neurological triggers for suspected severe preeclampsia in late pregnancy.,Maternal Health AI Platform Design,235,CONTINUE,Load Preeclampsia Education
9,1,Suspected Severe Anaemia,Laboratory,haemoglobin < 7,,Any,Emergency,Go to Referral Hospital immediately,Referral Hospital,haemoglobin,Low,Iron Supplementation,Severe anaemia carries an extremely high risk of maternal and infant mortality.,NDHS2022,333,STOP,Display Recommendation + Anaemia Education
10,3,Suspected Anaemia,Laboratory,haemoglobin >= 7 AND haemoglobin < 110,,Any,Moderate,Visit Health Post today,Health Post,haemoglobin,Low,Iron Supplementation,Anaemia increases the risk of mortality from haemorrhage and infection.,WHO recommendations on maternal health,"477, 485",CONTINUE,Load Iron Supplementation Education
11,2,Suspected Fetal Distress,Combination,reduced_fetal_movements = yes AND gestational_age_weeks >= 28,AND,Third trimester,Urgent,Visit Health Post today,Health Post,reduced_fetal_movements; gestational_age_weeks,High,Fetal Movement,Perception of reduced movement is associated with fetal distress or hypoxia.,WHO recommendations on maternal health,487,CONTINUE,Load Fetal Movement Education
12,2,Suspected Rupture of Membranes,Symptom,water_broke = yes,,Any,Emergency,Go to Referral Hospital immediately,Referral Hospital,water_broke,High,Danger Signs,Risk of chorioamnionitis and infection if membranes remain ruptured.,Maternal Health AI Platform Design,233,STOP,Display Recommendation + Danger Signs Education
13,2,Suspected Mental Health Emergency,Symptom,suicidal_ideation = yes,,Any,Emergency,Go to Referral Hospital immediately,Referral Hospital,suicidal_ideation,High,Mental Health,High risk of self-harm requires immediate professional intervention.,NDHS2022,"351, 368",STOP,Display Recommendation + Mental Health Education
14,2,Suspected Major Depression,Symptom,phq_9_score >= 10,,Any,Urgent,Refer urgently,Referral Hospital,phq_9_score,High,Mental Health,Validated score for major depression requires clinical follow-up.,NDHS2022,"255, 351",CONTINUE,Load Mental Health Education
15,3,Suspected High Risk for Preeclampsia,Risk Factor,previous_preeclampsia = yes OR diabetes = yes OR chronic_hypertension = yes OR multiple_pregnancy = yes,OR,Any,Moderate,Monitor symptoms,Health Post,previous_preeclampsia; diabetes; chronic_hypertension; multiple_pregnancy,High,Preeclampsia,Risk factors necessitate closer surveillance and potential aspirin prophylaxis.,WHO recommendations on maternal health,395,CONTINUE,Load Preeclampsia Education
16,3,Risk for Gestational Diabetes,Risk Factor,bmi > 30 OR previous_gdm = yes OR family_history_diabetes = yes,OR,Second trimester,Moderate,Visit Health Post today,Health Post,bmi; previous_gdm; family_history_diabetes,Medium,Nutrition,Screening identifies hyperglycaemia that can lead to macrosomia.,Who Guidelines ANC,"481, 655",CONTINUE,Load Nutrition Education
17,3,Adolescent Pregnancy,Risk Factor,maternal_age <= 19,,Any,Moderate,Visit Health Post today,Health Post,maternal_age,High,Birth Preparedness,Adolescents face higher risks of complications and social barriers to care.,Digital ANC Who guidelines,43,CONTINUE,Load Birth Preparedness Education
18,4,Routine ANC Initiation,Gestational Age,gestational_age_weeks < 12 AND anc_visits_completed = 0,AND,First trimester,Low,Book ANC within 24 hours,Health Post,gestational_age_weeks; anc_visits_completed,High,ANC Schedule,Early initiation of ANC allows for baseline assessment and screening.,SMNH Roadmap 2030,406,CONTINUE,Load ANC Schedule Education
19,4,Tetanus Vaccination Required,Risk Factor,valid_ttcv_history = no,,Any,Low,Book ANC within 24 hours,Health Post,valid_ttcv_history,High,Immunization,Prevents neonatal mortality from tetanus.,Digital ANC Who guidelines,43,CONTINUE,Load Immunization Education
20,5,Missing Clinical Data,Missing Information,bp_systolic = unknown OR weight = unknown,OR,Any,Moderate,Obtain missing measurements,Health Post,bp_systolic; weight,High,ANC Schedule,Vitals are essential for identifying asymptomatic risks like hypertension.,Maternal Health AI Platform Design,237,ASK_FOR_DATA,Request Missing Measurements
