id,symptom,synonyms,description,stage,possible_causes,follow_up_questions,danger_sign,severity,category,recommended_action,collect_immediately,source,page
1,Vaginal bleeding,Heavy bleeding; Spotting; PV bleeding,Bleeding from the vagina; light bleeding or spotting is common in early pregnancy; heavy bleeding may be a sign of something serious,Any,Placenta praevia; Abruptio placenta; Abortion; Postpartum haemorrhage (PPH); Antepartum haemorrhage (APH); Intimate partner violence,Is it light spotting or heavy bleeding?; Is it associated with pain?; How many pads or pettikots were soaked?,Yes,Emergency,Obstetric,Visit a health care provider; Refer to the hospital urgently; Immediate referral,Amount of bleeding; Gestational age; Vital signs,A Report on Maternal Mortality; Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual; Maternal Health AI Platform Design; NDHS2022; WHO recommendations on maternal health,"15, 30; 57, 105; 167, 191; 222, 223; 250; 483"
2,"Seizures, fits or convulsions",Convulsing,Jerky movement of the body; rolling of eyes,Any,Eclampsia; Hypertensive disorders,How many times have they occurred since this morning?,Yes,Emergency,Neurological,Refer to the hospital urgently; Treatment with Magnesium Sulphate,Blood pressure; Pupils; Oedema,A Report on Maternal Mortality; Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual; SMNH Roadmap 2030; WHO recommendations on maternal health,"14, 29, 34; 105; 125, 173; 425; 479"
3,Fever,Elevated body temperature,Elevated body temperature; most common complaint during pregnancy,Any,Sepsis; COVID-19; Malaria; Infectious epidemic diseases; Pneumonia,How many days have you had the fever?,Yes,Urgent,Infection,Refer to the hospital urgently; Parenteral antibiotics,Temperature; Duration of symptoms,A Report on Maternal Mortality; Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual; SMNH Roadmap 2030,"14, 29, 31, 34, 37; 106; 167, 197, 206; 425, 436"
4,Severe headache,Headache,Pain in the head; often associated with visual disturbances in late pregnancy,Any; Third trimester,Pre-eclampsia; Hypertensive disorders; Intimate partner violence,Do you have any difficulty focusing your vision?,Yes,Urgent,Neurological,Refer to the hospital urgently; Seek immediate medical evaluation,Blood pressure; Gestational age,A Report on Maternal Mortality; Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual; Maternal Health AI Platform Design; WHO recommendations on maternal health,"14, 29; 105; 195; 222, 224; 483"
5,Blurred vision,Difficulty focusing vision; Visual disturbance,Difficulty in focusing or disturbances in vision,Any; Third trimester,Pre-eclampsia; Hypertensive disorders,Is it hard to focus your vision?,Yes,Urgent,Neurological,Refer to the hospital urgently; Seek immediate medical evaluation,Blood pressure; Gestational age,A Report on Maternal Mortality; Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual; Maternal Health AI Platform Design,"14, 29; 105; 195; 222, 224"
6,Severe abdominal pain,Lower abdominal pain; Upper epigastric pain; Uterine tenderness,Intense pain in the abdomen or upper stomach area,Any,Ectopic pregnancy; Pre-eclampsia; Abortion; Peripartum infection; Endometritis; Uterine involution,Where exactly is the pain?; Is there tenderness when you touch your abdomen?,Yes,Emergency,Obstetric,Refer immediately; Refer to the hospital urgently,Blood pressure; Fetal heartbeat; Vaginal bleeding,A Report on Maternal Mortality; Digital ANC Who guidelines; Maternal Health AI Platform Design; WHO recommendations on maternal health,"15, 30, 31, 36; 105; 222; 464, 469"
7,Reduced fetal movement,No fetal movement,Maternal perception of decreased or absent fetal activity,Third trimester,Fetal distress; Fetal hypoxia,When did you last feel the baby move?; Is the movement less than usual?,Yes,Urgent,Obstetric,Further monitoring and investigation,Gestational age; Fetal heartbeat,A Report on Maternal Mortality; Maternal Health AI Platform Design; WHO recommendations on maternal health,"30; 222; 521, 528"
8,Unconsciousness,,Loss of consciousness; unrecordable BP and pulse,Any,Haemorrhage; Eclampsia; Shock; Accident/trauma,How long has she been unconscious?,Yes,Emergency,Neurological,Refer to the hospital urgently; Management of shock and immediate referral,Pulse rate; Blood pressure; Respiration rate; Pupils,A Report on Maternal Mortality; Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual; SMNH Roadmap 2030,"16, 17, 34, 37; 105; 113, 195, 206; 436"
9,Dizziness,Feeling faint,Feeling of being about to faint or unsteady,Any; Postpartum,Anaemia; Haemorrhage; Hypertensive disorders,"Do you also have night sweats, shortness of breath, or a cough?",No,Moderate,Cardiovascular,Seek medical evaluation,Blood pressure; Haemoglobin level,A Report on Maternal Mortality; Hospital-MPDSR-Training-Manual,"2, 16; 156"
10,Leaking of fluid from vagina,Water broke; PV leaking,Discharge of amniotic fluid before labour,Any,Prelabour rupture of membranes (PROM); Chorioamnionitis,How many days has the fluid been leaking?; What is the color and smell of the fluid?,Yes,Emergency,Obstetric,Seek immediate medical evaluation,Gestational age; Temperature; Fetal heartbeat,A Report on Maternal Mortality; Maternal Health AI Platform Design; WHO recommendations on maternal health,"17, 37; 222; 496"
11,Urinary or fecal leakage,Leaking of urine or stool,Constant leakage of urine or stool from the vagina,Any; Postpartum,Obstetric fistula,Did this problem start after you delivered a baby?; How many days after delivery did the leakage start?,No,Moderate,Urinary,Medical evaluation,Duration of symptoms,NDHS2022; WHO recommendations on maternal health,"251, 338, 339; 431, 434"
12,Pallor,Very pale,"Pale appearance in fingernails, eyelid, gingiva, and conjunctiva",Any,Severe anaemia; Haemorrhage,Do you feel too weak to stand up on your own?,No,Moderate,Cardiovascular,Daily oral iron and folic acid supplementation; Full blood count testing,Haemoglobin level,A Report on Maternal Mortality; Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual; WHO recommendations on maternal health,"17, 36; 81; 113, 126, 193; 532"
13,Swelling,Oedema; Swollen limbs; Pedal edema,"Accumulation of fluid in the body, typically hands, face, or legs",Any,Physiological changes; Pre-eclampsia,"Is the swelling in your feet, hands, or face?",No,Moderate,Cardiovascular,Compression stockings; Leg elevation; Water immersion,Blood pressure; Proteinuria,Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual; Maternal Health AI Platform Design; WHO recommendations on maternal health,"82; 125, 193; 222; 443, 506, 513"
14,Shortness of breath,Respiratory distress; Difficulty breathing,Severe difficulty in breathing; gasping,Any,Heart disease; ARDS; Pneumonia; COVID-19,Does it happen with simple household work?; Do you have chest pain or palpitations?,Yes,Urgent,Respiratory,Refer to the hospital urgently,Oxygen saturation; Respiration rate,Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual; NDHS2022,"105, 106; 134, 197; 361"
